Description,filenameGRN,Average branch length,Average contraction,Average fragmentation,Average remote bif. angle,Average partition asymmetry,Average fractal dimension,Depth,Height,Highest path order,Cable length,Mean radius,No. of branch points,No. of branches,No. of nodes,No. of primary branches,No. of inner branches,No. of terminal branches,No. of tips,Length of primary branches (sum),Length of inner branches (sum),Length of terminal branches (sum),Horton-Strahler number,Horton-Strahler bifurcation ratio,Width,Sholl: Centroid,Sholl: Centroid radius,Sholl: Decay,Sholl: Enclosing radius,Sholl: Intercept,Sholl: Kurtosis,Sholl: Max,Sholl: Max (fitted),Sholl: Max (fitted) radius,Sholl: Mean,Sholl: Median,Sholl: No. maxima,Sholl: No. secondary maxima,Sholl: Degree of Polynomial fit,Sholl: Skeweness,Sholl: Sum,Sholl: Variance
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_47760977,grn_3.grn,47.3996714473109,0.967093940205694,5.33333333333333,74.9273904030783,0.429086686328866,1.00974957101314,383.466115,324.770994,8,4976.96550196765,0.074882075471698,52,105,456,1,5,53,53,269.022400996103,457.157920134716,2318.43998100428,4,2.26319444444444,342.809546,7.11764705882353,198.84921951856,1.98796630605411,397.698439037121,-5.50562622735499,-0.362288249310234,28,26.9531201497843,325.389631939462,7.11764705882353,1,1,0,17,1.154795927562,242,87.5008912655972
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_66740585,grn_3.grn,58.381740911831,0.965170039327047,6.09452736318408,71.5494613455992,0.416475265793523,1.00804676175846,517.595859,362.140221,9,11734.729923278,0.087020420792079,100,201,1025,1,1,101,101,41.6164788033334,41.6164788033334,5228.35243266911,6,2.66355791335102,342.740493,14.2093023255814,260.561027766404,1.98487933037826,521.122055532808,-4.84203853666716,-0.239820768546228,50,48.423987632522,359.822371677415,14.2093023255814,5,1,0,20,1.08737899548187,611,244.121816168328
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_53531540,grn_3.grn,63.7871882776841,0.962806791407089,6.52662721893491,72.6640811797692,0.500543963473974,1.00813717676792,528.555758,321.65037,9,10780.0348189286,0.093658088235294,84,169,935,1,5,85,85,201.866121141462,297.127575684815,5834.44883612798,5,2.08661437246964,336.577316,13.8863636363636,267.836581963267,0.013355381972316,535.673163926535,-11.764419280692,0.837388234450807,52,52.3340252648254,348.810432324255,13.8863636363636,6.5,1,0,20,1.39648012945982,611,229.219344608879
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_21715610,grn_3.grn,67.4502461058629,0.95343441380559,6.77073170731707,75.337184990499,0.459187942653063,1.01155948725288,579.916353,521.254337,10,13827.3004517019,0.097542475728155,102,205,1184,1,4,103,103,32.3318220677424,133.401137007391,5920.72337158414,5,2.42301962498014,441.095384,16.063829787234,288.546480905314,0.012860287093619,577.092961810628,-11.7046929240777,1.30389029593077,71,65.7129387357358,351.273976754296,16.063829787234,7,1,0,20,1.59941706795251,755,373.930619796485
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_66990674,grn_3.grn,69.6038409476634,0.953159841773941,6.90731707317073,73.9209718219084,0.468263931472637,1.00931135846017,453.62096,324.843649,8,14268.787394271,0.099666262135922,102,205,1212,1,2,103,103,22.1241456889163,71.2347446804669,7286.30130935887,5,3.15151862026862,461.267835,18.15,246.021442821798,0.014435935146917,492.042885643596,-11.4051680633964,-0.155292991440441,63,61.8332264181754,302.795621934521,18.15,8.5,1,0,20,1.14015455950131,726,416.130769230769
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_80398136,grn_3.grn,115.647017799834,0.902763199574735,10.1428571428571,51.9510939453836,0.377777777777778,1.01483190093846,378.316899,296.618131,5,2428.58737379651,0.144176136363636,10,21,193,1,1,11,11,164.900136902196,164.900136902196,1244.03830337247,4,2.27777777777778,373.374359,4,197.727959124355,2.14403931030723,395.45591824871,-4.80223312454016,-0.901531635838394,11,11.1158777389051,329.546598540592,4,2,1,0,15,0.850756408949485,124,13.8
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_3684852,grn_3.grn,66.6548868875451,0.956260347843921,6.75862068965517,74.3224722937925,0.452282539098726,1.0100500278225,490.905156,372.838737,7,9664.95859869404,0.097174657534247,72,145,836,1,2,73,73,170.064235141434,220.149267074984,4326.30677527398,5,2.53780767626199,331.776029,11.85,243.245694590206,1.95248014241716,486.491389180411,-5.18674135919008,0.624578563037597,46,43.5777095677549,299.379316418715,11.85,7,1,0,20,1.30048321806305,474,178.694871794872
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_34373608,grn_3.grn,91.1977340690843,0.931243405807759,8.37209302325581,68.116501811327,0.413409606266749,1.01062468878304,483.506052,389.110602,6,3921.50256497063,0.120383522727273,21,43,318,1,1,22,22,86.8727872911274,86.8727872911274,1718.53587652753,4,3.77777777777778,298.003055,5.24324324324324,233.983410345713,2.30026639265539,467.966820691427,-3.76311978704433,0.013412913422125,17,15.5668089754601,298.978802108412,5.24324324324324,3,1,0,18,1.09607204657766,194,20.6336336336336
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_72673572,grn_3.grn,63.2544417817184,0.954781563610377,6.42285714285714,71.512997467883,0.428075126622797,1.01121988750659,511.459974,443.347963,8,11069.5273118007,0.092063210227273,87,175,950,1,2,88,88,4.99819114302654,99.6225085342817,4971.76056815187,5,2.74671296296296,368.668396,13.6666666666667,257.161716662365,2.23949189934618,514.32343332473,-3.5094247265307,0.80371059234115,56,55.5444269120574,363.78974552237,13.6666666666667,5.5,1,0,20,1.44723797487166,574,276.861788617886
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_62297713,grn_3.grn,61.9746186796152,0.956076504193535,6.39370078740158,73.6629443461302,0.475362856253005,1.01017756126583,505.090807,388.960263,11,23612.3297169334,0.091868455497382,190,381,2056,1,5,191,191,86.8289868685953,307.674009304159,12187.1574481752,5,2.65490434810288,386.885126,30.2926829268293,248.488700784682,1.64137923885055,496.977401569364,-6.01515951920469,0.251217175790347,114,112.587005674376,360.308616137789,30.2926829268293,14,1,0,20,1.22577669323943,1242,1216.26219512195
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_98323571,grn_3.grn,58.9228887658493,0.957867938556391,6.16733067729084,78.1871564254797,0.451672069466284,1.01003773948041,438.021946,483.821136,12,14789.6450802282,0.088231646825397,125,251,1298,1,2,126,126,172.438352618664,236.379407605674,7521.25517884723,6,2.34565400843882,489.811733,18.8918918918919,222.764359248524,1.54856157747174,445.528718497049,-7.11154947002865,-0.431206887809124,77,66.2402712008479,334.146538872787,18.8918918918919,4,1,0,18,1.03933510403837,699,562.654654654655
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_83060169,grn_3.grn,65.5207551256619,0.951844965656061,6.63746223564955,72.870360709808,0.463705834928919,1.01013902321367,490.717185,428.167863,12,21687.3699465941,0.095632530120482,165,331,1867,1,4,166,166,17.825368169615,146.679537642265,10906.1406435551,6,2.3945523193096,487.354348,27.2051282051282,237.627986677729,0.014819356586996,475.255973355457,-11.042727250596,0.544000228259279,114,112.879285521735,300.161667382394,27.2051282051282,8,1,0,19,1.43019348884956,1061,1302.69365721997
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_48127614,grn_3.grn,56.4095502801945,0.966155435168139,5.9468438538206,68.0634847879225,0.442330258735713,1.00919887101677,486.172384,464.497955,10,16979.2746343386,0.084850993377484,150,301,1490,1,2,151,151,1.49972446027129,47.9116357714086,8186.76647036368,6,2.48307189542484,445.344268,20.8780487804878,247.791638284798,2.236098103831,495.583276569596,-3.1716031082997,-0.253417360171785,78,74.0405726892973,309.739547855997,20.8780487804878,7,1,0,20,1.17432939834646,856,645.809756097561
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_57872086,grn_3.grn,58.9474770778258,0.957290808014629,6.16753926701571,71.83570528896,0.483297325036625,1.00974747921807,476.019601,423.225797,11,11258.9681218647,0.088134765625,95,191,988,1,3,96,96,171.144446720271,293.408595348101,6940.98171086704,5,2.50534188034188,421.899942,15.0526315789474,228.723900349317,2.00563392460611,457.447800698635,-4.91580435195216,0.335567871136551,62,62.5876562171013,309.086351823402,15.0526315789474,4,1,0,19,1.37503453563858,572,433.402560455192
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_87868261,grn_3.grn,60.4222413912232,0.958892597963774,6.28939828080229,74.1679715825732,0.456613047575063,1.00968269545299,531.974699,456.701765,11,21087.3622455369,0.090223214285714,174,349,1847,1,6,175,175,67.9672572218795,268.864648080048,10047.9586134231,5,2.40529537286613,520.654234,24.2272727272727,265.742761743358,1.89236781407665,531.485523486716,-5.01738365148898,1.42001685558076,111,108.660274040006,321.363339782666,24.2272727272727,8.5,1,0,20,1.60919798758757,1066,1033.94714587738
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_49024597,grn_3.grn,64.7456550589571,0.960259462604449,6.56647398843931,71.7488509357268,0.485715867431207,1.00928367288568,563.563285,336.049918,10,11200.9983251996,0.094288793103448,86,173,964,1,2,87,87,31.7102729724079,77.1537013731412,5818.92585640512,5,2.87620553359684,393.534244,13.0454545454545,269.175897121865,0.015364107986377,538.35179424373,-11.3382105683369,0.905697608821657,51,49.8792432999814,338.034847548388,13.0454545454545,7,1,0,20,1.37707897624007,574,207.439746300211
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_34164365,grn_3.grn,60.4114735388028,0.95310058613787,6.26817447495961,76.4242224781758,0.460586500610802,1.01116486664747,438.881795,555.233029,13,37394.7021205189,0.089994959677419,309,619,3262,1,4,310,310,49.9287989213266,191.708934439176,19776.6861800346,6,2.43325610389337,589.634828,47.972972972973,223.363295552562,1.46166542368257,446.726591105123,-6.66287807608081,-0.229978943445103,178,180.285275647822,297.817727403415,47.972972972973,13,1,0,18,1.09858023604096,1775,3604.91591591592
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_11615624,grn_3.grn,65.2152248204465,0.953602282810394,6.60110041265475,71.5245188747591,0.437134801851486,1.01072031814643,561.522652,571.179817,11,47411.4684444646,0.095209478021978,363,727,4073,1,1,364,364,7.53408378637841,7.53408378637841,23375.2434785318,7,3.05225982834994,500.241111,52.9565217391304,281.960658233093,0.013590497475205,563.921316466187,-10.4713910513592,1.01102523829211,226,218.571892593958,313.289620258993,52.9565217391304,20.5,1,0,20,1.50834624047336,2436,4374.48695652174
snt_maxTime_6_filenameGRN_grn_3.grn_randomSeed_53262631,grn_3.grn,50.9785368286693,0.977940046803576,5.58095238095238,79.2742909260035,0.496914278531926,1.00595286941183,405.369061,332.405389,7,5352.74636701028,0.07871462264151,52,105,482,1,2,53,53,269.541972525618,304.627897115124,2673.27009550889,5,2.35984848484848,395.632344,7.8,207.043248558901,1.96380330656217,414.086497117803,-5.6756813823911,0.616796326020392,35,34.2378093461111,328.83339477002,7.8,1,1,0,17,1.44926691458488,273,125.105882352941
